,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
0,EPI,3839,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1246465,0.6945139,1.8520838,1.2258732,Block
1,EPI,3839,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0780762,0.6675081,0.8376429,0.5585393,Phasic
2,EPI,5682,ofMr1,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.2285986,0.727423,0.9807378,0.64118814,Block
3,EPI,5682,ofMr2,CogBl,0,CBV,/root/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1787966,0.7111858,1.5920099,1.0453799,Block
4,EPI,5683,ofM,CogBl,0,CBV,/root/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1956813,0.72672045,2.8617132,2.39179,Block
5,EPI,5683,ofMr1,CogBl,0,CBV,/root/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1771085,0.7137389,1.299787,1.2346929,Block
6,EPI,5685,ofM,CogB,1,CBV,/root/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.2287812,0.7353344,2.0821679,1.3630823,Block
7,EPI,5685,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1090597,0.6907693,1.2756084,0.6262909,Phasic
8,EPI,5685,ofMr1,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1536474,0.71117896,2.2545183,1.4596738,Block
9,EPI,6257,ofM,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1848285,0.7218151,2.4271116,1.3942454,Block
