,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
0,EPI,3839,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1234385,0.6914006,1.9896537,1.0101748,Block
1,EPI,3839,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.078981,0.66552603,0.8997756,0.44715697,Phasic
2,EPI,5682,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.2277579,0.7267514,0.96536404,0.587435,Block
3,EPI,5682,ofMr2,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1782218,0.7131899,1.5730454,1.3625257,Block
4,EPI,5683,ofM,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1987402,0.7230396,2.6266077,2.4673455,Block
5,EPI,5683,ofMr1,CogBl,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1749173,0.7190554,1.2148576,1.1363466,Block
6,EPI,5685,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.2310895,0.7392217,1.9484798,1.1332741,Block
7,EPI,5685,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1069237,0.6866743,1.2684925,0.6594175,Phasic
8,EPI,5685,ofMr1,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1509966,0.70740587,2.4761977,1.9852246,Block
9,EPI,6257,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.185569,0.71695316,1.9732571,1.0904129,Block
10,EPI,6259,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1719518,0.713804,2.208422,1.8451594,Block
11,EPI,6259,ofMr1,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1427627,0.7073858,1.5598693,1.0986593,Block
12,EPI,6259,ofMr1,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1015098,0.680177,0.74322236,0.42319727,Phasic
13,EPI,6260,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.182404,0.72344846,1.5969331,1.1458809,Block
14,EPI,6260,ofMr2,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1299193,0.69696516,2.2821918,1.390074,Block
15,EPI,6260,ofMr2,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0862875,0.6758258,1.0471671,0.505873,Phasic
16,EPI,6467,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1483455,0.7063212,0.7064594,0.52923745,Block
17,EPI,6467,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1034244,0.6827005,1.3895065,0.9466722,Phasic
18,EPI,6468,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1285732,0.69562244,1.5582591,0.94478,Block
19,EPI,6468,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0786129,0.66421705,1.5590194,1.2431865,Phasic
20,EPI,6471,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofM/sub-6471_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1337029,0.6967828,0.86070937,0.7373264,Block
21,EPI,6471,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofMr1/sub-6471_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1588426,0.7143518,0.6870563,0.60050774,Block
22,EPI,6560,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofM/sub-6560_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1444077,0.7053098,1.0474877,0.65950894,Block
23,EPI,6560,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofMr1/sub-6560_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.124199,0.68927526,1.991088,1.3890202,Block
24,EPI,6562,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6562/ses-ofM/sub-6562_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1133966,0.6926378,1.1887218,0.5031191,Block
